StasjonsNavn,date,MaalepunktID,Lat,Lon,PostKode,AarligForbruk,ForbruksVerdi,Temperatur
Gamle Kongsveg,2021-01-31,5.26050780016225e+20,45275.96376,8178.4944,1726080.0,0.0,5271.924,-6874.2
Gamle Kongsveg,2021-02-28,4.751426400146549e+20,40894.41888,7387.0271999999995,1559040.0,0.0,4140.402,-4700.4
Gamle Kongsveg,2021-03-31,5.2534372251620324e+20,45215.10897,8167.5018,1723760.0,0.0,3746.421,1029.3
Gamle Kongsveg,2021-04-30,5.090814000157017e+20,43815.4488,7914.672,1670400.0,0.0,2795.302,2819.3
Gamle Kongsveg,2021-05-31,5.26050780016225e+20,45275.96376,8178.4944,1726080.0,0.0,2059.549,7042.0
Gamle Kongsveg,2021-06-30,5.090814000157017e+20,43815.4488,7914.672,1670400.0,0.0,1506.533,12092.3
Gamle Kongsveg,2021-07-31,5.26050780016225e+20,45275.96376,8178.4944,1726080.0,0.0,1774.857,13547.1
Gamle Kongsveg,2021-08-31,5.26050780016225e+20,45275.96376,8178.4944,1726080.0,0.0,2578.289,10938.6
Gamle Kongsveg,2021-09-30,5.090814000157017e+20,43815.4488,7914.672,1670400.0,0.0,3216.917,8370.7
Gamle Kongsveg,2021-10-31,5.267578375162469e+20,45336.81855,8189.486999999999,1728400.0,0.0,4100.615,5445.8
Gamle Kongsveg,2021-11-30,4.928190775152001e+20,42415.78863,7661.8422,1617040.0,0.0,4612.336,302.6
Gamle Kongsveg,2021-12-31,4.9211202001517825e+20,42354.93384,7650.8496,1614720.0,0.0,5052.665,-3526.9
Gatelys,2021-01-31,5.260507800152937e+20,45310.67136,8059.8636,1755840.0,0.0,3412.573,0.0
Gatelys,2021-02-28,4.751426400138137e+20,40925.76768,7279.8768,1585920.0,0.0,2663.253,0.0
Gatelys,2021-03-31,5.2534372251527315e+20,45249.76992,8049.03045,1753480.0,0.0,2411.375,0.0
Gatelys,2021-04-30,5.0908140001480036e+20,43849.0368,7799.8679999999995,1699200.0,0.0,1806.389,0.0
Gatelys,2021-05-31,5.260507800152937e+20,45310.67136,8059.8636,1755840.0,0.0,1345.81,0.0
Gatelys,2021-06-30,5.0908140001480036e+20,43849.0368,7799.8679999999995,1699200.0,0.0,995.764,0.0
Gatelys,2021-07-31,5.260507800152937e+20,45310.67136,8059.8636,1755840.0,0.0,1181.989,0.0
Gatelys,2021-08-31,5.260507800152937e+20,45310.67136,8059.8636,1755840.0,0.0,1654.422,0.0
Gatelys,2021-09-30,5.0908140001480036e+20,43849.0368,7799.8679999999995,1699200.0,0.0,2113.375,0.0
